"module name","license","repository"
"jsonwebtoken@9.0.2","MIT","https://github.com/auth0/node-jsonwebtoken"
"jwa@1.4.2","MIT","https://github.com/brianloveswords/node-jwa"
"jwks-rsa@3.2.0","MIT","https://github.com/auth0/node-jwks-rsa"
"jws@3.2.2","MIT","https://github.com/brianloveswords/node-jws"
"lerc@3.0.0","Apache-2.0","https://github.com/Esri/lerc"
"limiter@1.1.5","MIT","https://github.com/jhurliman/node-rate-limiter"
"locate-character@3.0.0","MIT","git+https://gitlab.com/Rich-Harris/locate-character"
"lodash.clonedeep@4.5.0","MIT","https://github.com/lodash/lodash"
"lodash.includes@4.3.0","MIT","https://github.com/lodash/lodash"
"lodash.isboolean@3.0.3","MIT","https://github.com/lodash/lodash"
"lodash.isinteger@4.0.4","MIT","https://github.com/lodash/lodash"
"lodash.isnumber@3.0.3","MIT","https://github.com/lodash/lodash"
"lodash.isplainobject@4.0.6","MIT","https://github.com/lodash/lodash"
"lodash.isstring@4.0.1","MIT","https://github.com/lodash/lodash"
"lodash.once@4.1.1","MIT","https://github.com/lodash/lodash"
"lru-cache@6.0.0","ISC","https://github.com/isaacs/node-lru-cache"
"lru-memoizer@2.3.0","MIT","https://github.com/jfromaniello/lru-memoizer"
"magic-string@0.30.17","MIT","https://github.com/rich-harris/magic-string"
"minimist@1.2.8","MIT","https://github.com/minimistjs/minimist"
"ms@2.1.3","MIT","https://github.com/vercel/ms"
"ol@10.6.1","BSD-2-Clause","https://github.com/openlayers/openlayers"
"on-exit-leak-free@2.1.2","MIT","https://github.com/mcollina/on-exit-or-gc"
"once@1.4.0","ISC","https://github.com/isaacs/once"
"ostsee-tiere@1.8.1","UNLICENSED",""
"pako@2.1.0","(MIT AND Zlib)","https://github.com/nodeca/pako"
"parse-headers@2.0.6","MIT","https://github.com/kesla/parse-headers"
"pbf@4.0.1","BSD-3-Clause","https://github.com/mapbox/pbf"
"pino-abstract-transport@2.0.0","MIT","https://github.com/pinojs/pino-abstract-transport"
"pino-pretty@13.1.1","MIT","https://github.com/pinojs/pino-pretty"
"pino-std-serializers@7.0.0","MIT","https://github.com/pinojs/pino-std-serializers"
"pino@9.9.0","MIT","https://github.com/pinojs/pino"
"point-in-polygon-hao@1.2.4","MIT","https://github.com/rowanwins/point-in-polygon-hao"
"postgres@3.4.7","Unlicense","https://github.com/porsager/postgres"
"process-warning@5.0.0","MIT","https://github.com/fastify/process-warning"
"property-expr@2.0.6","MIT","https://github.com/jquense/expr"
"protocol-buffers-schema@3.6.0","MIT","https://github.com/mafintosh/protocol-buffers-schema"
"pump@3.0.3","MIT","https://github.com/mafintosh/pump"
"quick-format-unescaped@4.0.4","MIT","https://github.com/davidmarkclements/quick-format"
"quick-lru@6.1.2","MIT","https://github.com/sindresorhus/quick-lru"
"quickselect@3.0.0","ISC","https://github.com/mourner/quickselect"
"rbush@4.0.1","MIT","https://github.com/mourner/rbush"
"real-require@0.2.0","MIT","https://github.com/pinojs/real-require"
"resolve-protobuf-schema@2.1.0","MIT","https://github.com/mafintosh/resolve-protobuf-schema"
"retry@0.13.1","MIT","https://github.com/tim-kos/node-retry"
"robust-predicates@3.0.2","Unlicense","https://github.com/mourner/robust-predicates"
"safe-buffer@5.2.1","MIT","https://github.com/feross/safe-buffer"
"safe-stable-stringify@2.5.0","MIT","https://github.com/BridgeAR/safe-stable-stringify"
"secure-json-parse@4.0.0","BSD-3-Clause","https://github.com/fastify/secure-json-parse"
"semver@7.7.2","ISC","https://github.com/npm/node-semver"
"sonic-boom@4.2.0","MIT","https://github.com/pinojs/sonic-boom"
"split2@4.2.0","ISC","https://github.com/mcollina/split2"
"strip-json-comments@5.0.3","MIT","https://github.com/sindresorhus/strip-json-comments"
"svelte-forms-lib@2.0.1","MIT","https://github.com/tjinauyeung/svelte-forms-lib"
"svelte@5.38.1","MIT","https://github.com/sveltejs/svelte"
"tailwind-merge@3.3.1","MIT","https://github.com/dcastil/tailwind-merge"
"tailwind-variants@2.1.0","MIT","https://github.com/heroui-inc/tailwind-variants"
"tailwindcss@4.1.12","MIT","https://github.com/tailwindlabs/tailwindcss"
"thread-stream@3.1.0","MIT","https://github.com/mcollina/thread-stream"
"throttleit@2.1.0","MIT","https://github.com/sindresorhus/throttleit"
"tiny-case@1.0.3","MIT","https://github.com/jquense/tiny-case"
"toposort@2.0.2","MIT","https://github.com/marcelklehr/toposort"
"tslib@2.8.1","0BSD","https://github.com/Microsoft/tslib"
"type-fest@2.19.0","(MIT OR CC0-1.0)","https://github.com/sindresorhus/type-fest"
"undici-types@6.21.0","MIT","https://github.com/nodejs/undici"
"undici@5.29.0","MIT","https://github.com/nodejs/undici"
"web-worker@1.5.0","Apache-2.0","https://github.com/developit/web-worker"
"wrappy@1.0.2","ISC","https://github.com/npm/wrappy"
"xml-utils@1.10.2","CC0-1.0","https://github.com/DanielJDufour/xml-utils"
"yallist@4.0.0","ISC","https://github.com/isaacs/yallist"
"yup@1.7.0","MIT","https://github.com/jquense/yup"
"zimmerframe@1.1.2","MIT","https://github.com/Rich-Harris/zimmerframe"
"zstddec@0.1.0","MIT AND BSD-3-Clause","https://github.com/donmccurdy/zstddec"
